date,AAPL close,MSFT close
07/06/2013,63.1159,35.67
10/06/2013,62.6986,35.47
11/06/2013,62.5143,34.84
12/06/2013,61.7414,35
13/06/2013,62.2807,34.715
14/06/2013,61.4357,34.4
17/06/2013,61.7143,35
18/06/2013,61.6814,34.98
19/06/2013,60.4286,34.59
20/06/2013,59.5483,33.49
21/06/2013,59.0714,33.265
24/06/2013,57.5057,33.715
25/06/2013,57.5186,33.67
26/06/2013,56.8671,34.35
27/06/2013,56.2543,34.62
28/06/2013,56.6471,34.545
01/07/2013,58.46,34.36
02/07/2013,59.7843,33.94
03/07/2013,60.1143,34.01
05/07/2013,59.6314,34.21
08/07/2013,59.2929,34.325
09/07/2013,60.3357,34.35
10/07/2013,60.1043,34.7
11/07/2013,61.0411,35.685
12/07/2013,60.93,35.67
15/07/2013,61.0629,36.17
16/07/2013,61.4564,36.27
17/07/2013,61.4729,35.74
18/07/2013,61.6797,35.44
19/07/2013,60.7071,31.4
22/07/2013,60.9014,32.01
23/07/2013,59.8557,31.82
24/07/2013,62.93,31.96
25/07/2013,62.6429,31.39
26/07/2013,62.9986,31.62
29/07/2013,63.97,31.54
30/07/2013,64.76,31.85
31/07/2013,64.6471,31.84
01/08/2013,65.2394,31.67
02/08/2013,66.0771,31.89
05/08/2013,67.0643,31.7
06/08/2013,66.4643,31.58
07/08/2013,66.4257,32.063
08/08/2013,65.8586,32.89
09/08/2013,64.9214,32.7
12/08/2013,66.7657,32.87
13/08/2013,69.9386,32.23
14/08/2013,71.2143,32.35
15/08/2013,71.13,31.79
16/08/2013,71.7614,31.8
19/08/2013,72.5343,31.393
20/08/2013,71.5814,31.62
21/08/2013,71.7657,31.61
22/08/2013,71.8514,32.39
23/08/2013,71.5743,34.75
26/08/2013,71.8529,34.15
27/08/2013,69.7986,33.26
28/08/2013,70.128,33.02
29/08/2013,70.2429,33.55
30/08/2013,69.6023,33.4
03/09/2013,69.7971,31.88
04/09/2013,71.2416,31.195
05/09/2013,70.7529,31.235
06/09/2013,71.1743,31.152
09/09/2013,72.31,31.655
10/09/2013,70.6629,32.39
11/09/2013,66.8157,32.74
12/09/2013,67.5271,32.69
13/09/2013,66.4143,33.03
16/09/2013,64.3029,32.801
17/09/2013,65.0457,32.93
18/09/2013,66.3829,33.32
19/09/2013,67.4714,33.64
20/09/2013,66.7729,32.791
23/09/2013,70.0914,32.74
24/09/2013,69.8714,32.455
25/09/2013,68.79,32.505
26/09/2013,69.46,32.77
27/09/2013,68.9643,33.27
30/09/2013,68.1071,33.28
01/10/2013,69.7086,33.58
02/10/2013,69.9371,33.92
03/10/2013,69.0586,33.86
04/10/2013,69.0043,33.88
07/10/2013,69.6786,33.3
08/10/2013,68.7057,33.01
09/10/2013,69.5126,33.07
10/10/2013,69.9483,33.76
11/10/2013,70.4017,34.13
14/10/2013,70.8629,34.45
15/10/2013,71.24,34.49
16/10/2013,71.5877,34.64
17/10/2013,72.0714,34.92
18/10/2013,72.6986,34.96
21/10/2013,74.4803,34.99
22/10/2013,74.2668,34.58
23/10/2013,74.9943,33.76
24/10/2013,75.9871,33.72
25/10/2013,75.1369,35.73
28/10/2013,75.6966,35.57
29/10/2013,73.8111,35.52
30/10/2013,74.9851,35.54
31/10/2013,74.6717,35.405
01/11/2013,74.29,35.525
04/11/2013,75.25,35.94
05/11/2013,75.0641,36.64
06/11/2013,74.4171,38.18
07/11/2013,73.2131,37.5
08/11/2013,74.3657,37.78
11/11/2013,74.1497,37.59
12/11/2013,74.2871,37.36
13/11/2013,74.3763,38.155
14/11/2013,75.4514,38.021
15/11/2013,74.9987,37.841
18/11/2013,74.0899,37.2
19/11/2013,74.2214,36.74
20/11/2013,73.5714,37.08
21/11/2013,74.448,37.4
22/11/2013,74.2571,37.57
25/11/2013,74.82,37.64
26/11/2013,76.2,37.35
27/11/2013,77.9943,37.6
29/11/2013,79.4386,38.13
02/12/2013,78.7471,38.45
03/12/2013,80.9031,38.31
04/12/2013,80.7143,38.94
05/12/2013,81.1287,38
06/12/2013,80.0029,38.36
09/12/2013,80.9186,38.705
10/12/2013,80.7929,38.11
11/12/2013,80.1943,37.61
12/12/2013,80.0771,37.22
13/12/2013,79.2043,36.69
16/12/2013,79.6429,36.885
17/12/2013,79.2843,36.52
18/12/2013,78.6814,36.58
19/12/2013,77.78,36.25
20/12/2013,78.4314,36.8
23/12/2013,81.4414,36.62
24/12/2013,81.0957,37.08
26/12/2013,80.5571,37.44
27/12/2013,80.0129,37.29
30/12/2013,79.2171,37.29
31/12/2013,80.1457,37.41
02/01/2014,79.0186,37.16
03/01/2014,77.2829,36.91
06/01/2014,77.7043,36.13
07/01/2014,77.1482,36.41
08/01/2014,77.6371,35.76
09/01/2014,76.6456,35.53
10/01/2014,76.1343,36.04
13/01/2014,76.5329,34.98
14/01/2014,78.0557,35.78
15/01/2014,79.6229,36.76
16/01/2014,79.1786,36.89
17/01/2014,77.2386,36.38
21/01/2014,78.4386,36.17
22/01/2014,78.7871,35.93
23/01/2014,79.4543,36.055
24/01/2014,78.01,36.805
27/01/2014,78.6429,36.03
28/01/2014,72.3571,36.27
29/01/2014,71.5357,36.66
30/01/2014,71.3974,36.86
31/01/2014,71.5143,37.84
03/02/2014,71.6471,36.48
04/02/2014,72.6843,36.35
05/02/2014,73.2271,35.82
06/02/2014,73.2157,36.18
07/02/2014,74.24,36.56
10/02/2014,75.57,36.8
11/02/2014,76.5657,37.175
12/02/2014,76.56,37.47
13/02/2014,77.7757,37.61
14/02/2014,77.7129,37.62
18/02/2014,77.9986,37.42
